"","genotype","hi_or_lo","sib_type","subplot_id","rep","awning","treatment"
"156","TB_0437","lo","closest_lo_full",61601,2,16,"wet"
"157","TB_0437","lo","closest_lo_full",60429,1,4,"wet"
"158","TB_0437","lo","closest_lo_full",60829,1,8,"dry"
"159","TB_0437","lo","closest_lo_full",61201,2,12,"dry"
"160","TB_0437","lo","closest_lo_full",61601,2,16,"wet"
"161","TB_0446","hi","hi_roller",61553,2,15,"wet"
"162","TB_0446","hi","hi_roller",61153,2,11,"dry"
"163","TB_0446","hi","hi_roller",60215,1,2,"wet"
"164","TB_0446","hi","hi_roller",60615,1,6,"dry"
"165","TB_0462","hi","hi_roller",60410,1,4,"wet"
"166","TB_0462","hi","hi_roller",60952,2,9,"dry"
"167","TB_0462","hi","hi_roller",61352,2,13,"wet"
"168","TB_0462","hi","hi_roller",60810,1,8,"dry"
"169","TB_0471","lo","closest_lo_full",60848,1,8,"dry"
"170","TB_0471","lo","closest_lo_full",61623,2,16,"wet"
"171","TB_0471","lo","closest_lo_full",61223,2,12,"dry"
"172","TB_0471","lo","closest_lo_full",60448,1,4,"wet"
"173","TB_0476","hi","hi_roller",60242,1,2,"wet"
"174","TB_0476","hi","hi_roller",61309,2,13,"wet"
"175","TB_0476","hi","hi_roller",60642,1,6,"dry"
"176","TB_0476","hi","hi_roller",60907,2,9,"dry"
"177","TB_0477","lo","closest_lo_full",61313,2,13,"wet"
"178","TB_0477","lo","closest_lo_full",60540,1,5,"dry"
"179","TB_0477","lo","closest_lo_full",60913,2,9,"dry"
"180","TB_0477","lo","closest_lo_full",60140,1,1,"wet"
"181","TB_0477","lo","closest_zero",61313,2,13,"wet"
"182","TB_0477","lo","closest_zero",60540,1,5,"dry"
"183","TB_0477","lo","closest_zero",60913,2,9,"dry"
"184","TB_0477","lo","closest_zero",60140,1,1,"wet"
"185","TB_0486","lo","closest_lo_full",61230,2,12,"dry"
"186","TB_0486","lo","closest_lo_full",60625,1,6,"dry"
"187","TB_0486","lo","closest_lo_full",61630,2,16,"wet"
"188","TB_0486","lo","closest_lo_full",60225,1,2,"wet"
"189","TB_0486","lo","closest_zero",61230,2,12,"dry"
"190","TB_0486","lo","closest_zero",60625,1,6,"dry"
"191","TB_0486","lo","closest_zero",61630,2,16,"wet"
"192","TB_0486","lo","closest_zero",60225,1,2,"wet"
"193","TB_0493","lo","closest_lo_full",60713,1,7,"dry"
"194","TB_0493","lo","closest_lo_full",61146,2,11,"dry"
"195","TB_0493","lo","closest_lo_full",61546,2,15,"wet"
"196","TB_0493","lo","closest_lo_full",60313,1,3,"wet"
"197","TB_0493","lo","closest_lo_full",60713,1,7,"dry"
"198","TB_0493","lo","closest_lo_full",61146,2,11,"dry"
"199","TB_0493","lo","closest_lo_full",61546,2,15,"wet"
"200","TB_0493","lo","closest_lo_full",60313,1,3,"wet"
"201","TB_0493","lo","closest_lo_full",60713,1,7,"dry"
"202","TB_0493","lo","closest_lo_full",61146,2,11,"dry"
"203","TB_0493","lo","closest_lo_full",61546,2,15,"wet"
"204","TB_0493","lo","closest_lo_full",60313,1,3,"wet"
"205","TB_0493","lo","closest_lo_full",60713,1,7,"dry"
"206","TB_0493","lo","closest_lo_full",61146,2,11,"dry"
"207","TB_0493","lo","closest_lo_full",61546,2,15,"wet"
"208","TB_0493","lo","closest_lo_full",60313,1,3,"wet"
"209","TB_0503","lo","closest_zero",60412,1,4,"wet"
"210","TB_0503","lo","closest_zero",61501,2,15,"wet"
"211","TB_0503","lo","closest_zero",61101,2,11,"dry"
"212","TB_0503","lo","closest_zero",60812,1,8,"dry"
"213","TB_0503","lo","closest_lo_full",60412,1,4,"wet"
"214","TB_0503","lo","closest_lo_full",61501,2,15,"wet"
"215","TB_0503","lo","closest_lo_full",61101,2,11,"dry"
"216","TB_0503","lo","closest_lo_full",60812,1,8,"dry"
"217","TB_0508","hi","hi_roller",60123,1,1,"wet"
"218","TB_0508","hi","hi_roller",60523,1,5,"dry"
"219","TB_0508","hi","hi_roller",60928,2,9,"dry"
"220","TB_0508","hi","hi_roller",61328,2,13,"wet"
"221","TB_0509","hi","hi_roller",61235,2,12,"dry"
"222","TB_0509","hi","hi_roller",60535,1,5,"dry"
"223","TB_0509","hi","hi_roller",61635,2,16,"wet"
"224","TB_0509","hi","hi_roller",60135,1,1,"wet"
"225","TB_0513","lo","closest_lo_full",60107,1,1,"wet"
"226","TB_0513","lo","closest_lo_full",61604,2,16,"wet"
"227","TB_0513","lo","closest_lo_full",60507,1,5,"dry"
"228","TB_0513","lo","closest_lo_full",61204,2,12,"dry"
"229","TB_0513","lo","closest_lo_full",60107,1,1,"wet"
"230","TB_0513","lo","closest_lo_full",61604,2,16,"wet"
"231","TB_0513","lo","closest_lo_full",60507,1,5,"dry"
"232","TB_0513","lo","closest_lo_full",61204,2,12,"dry"
"233","TB_0513","lo","closest_zero",60107,1,1,"wet"
"234","TB_0513","lo","closest_zero",61604,2,16,"wet"
"235","TB_0513","lo","closest_zero",60507,1,5,"dry"
"236","TB_0513","lo","closest_zero",61204,2,12,"dry"
"237","TB_0529","lo","closest_lo_full",61637,2,16,"wet"
"238","TB_0529","lo","closest_lo_full",60616,1,6,"dry"
"239","TB_0529","lo","closest_lo_full",61237,2,12,"dry"
"240","TB_0529","lo","closest_lo_full",60216,1,2,"wet"
"241","TB_0551","lo","closest_zero",61508,2,15,"wet"
"242","TB_0551","lo","closest_zero",60622,1,6,"dry"
"243","TB_0551","lo","closest_zero",60222,1,2,"wet"
"244","TB_0551","lo","closest_zero",61108,2,11,"dry"
"245","TB_0551","lo","closest_lo_full",61508,2,15,"wet"
"246","TB_0551","lo","closest_lo_full",60622,1,6,"dry"
"247","TB_0551","lo","closest_lo_full",60222,1,2,"wet"
"248","TB_0551","lo","closest_lo_full",61108,2,11,"dry"
"249","TB_0581","hi","hi_roller",61005,2,10,"dry"
"250","TB_0581","hi","hi_roller",60401,1,4,"wet"
"251","TB_0581","hi","hi_roller",60801,1,8,"dry"
"252","TB_0581","hi","hi_roller",61405,2,14,"wet"
"253","TB_0610","lo","closest_lo_full",61043,2,10,"dry"
"254","TB_0610","lo","closest_lo_full",61443,2,14,"wet"
"255","TB_0610","lo","closest_lo_full",60711,1,7,"dry"
"256","TB_0610","lo","closest_lo_full",60311,1,3,"wet"
"257","TB_0610","lo","closest_zero",61043,2,10,"dry"
"258","TB_0610","lo","closest_zero",61443,2,14,"wet"
"259","TB_0610","lo","closest_zero",60711,1,7,"dry"
"260","TB_0610","lo","closest_zero",60311,1,3,"wet"
"261","TB_0612","hi","hi_roller",61648,2,16,"wet"
"262","TB_0612","hi","hi_roller",61248,2,12,"dry"
"263","TB_0612","hi","hi_roller",60241,1,2,"wet"
"264","TB_0612","hi","hi_roller",60641,1,6,"dry"
