,genotype,score,VM_dry,VM_wet,VM_dw_percent,CH_dry,CH_wet,CH_dw_percent,TB_0003,TB_0037,TB_0095,TB_0239,TB_0335,TB_0368,TB_0382,TB_0386,TB_0433,TB_0436,TB_0446,TB_0462,TB_0476,TB_0508,TB_0509,TB_0581,TB_0612
62,TB_0340,0.5,1.0081666667,0.8037666667,1.2543026583,254.3333333333,313.8333333333,0.8104089219,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
68,TB_0348,0,0.96035,0.6456666667,1.4873773877,162.3333333333,153.1666666667,1.0598476605,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
72,TB_0355,0,1.1950666667,0.5322333333,2.2453810985,381,204.3333333333,1.8646003263,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
73,TB_0357,0,0.7484666667,0.53235,1.4059672521,244.6666666667,195.5,1.2514919011,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
88,TB_0444,0,1.0376,0.8832666667,1.1747301683,260.5,300.5,0.8668885191,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
115,TB_0555,0.5,1.5321666667,1.83685,0.834127265,384.5,467.6666666667,0.8221667855,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
119,TB_0590,0.5,1.2022333333,1.0370166667,1.1593192009,238.6666666667,289.1666666667,0.8253602305,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
127,TB_0611,0,1.4882166667,2.1955,0.6778486298,279,368,0.7581521739,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
2,TB_0010,0.5,0.99635,0.9105166667,1.0942688217,291.8333333333,216.1666666667,1.3500385505,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
5,TB_0031,0,1.5901,1.3559333333,1.1726977728,318.3333333333,388.1666666667,0.8200944611,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
40,TB_0265,0,2.2700833333,2.3276333333,0.9752753154,769.8333333333,676,1.1388067061,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
47,TB_0281,0.5,2.4709333333,2.5661666667,0.9628888745,510.8333333333,627.3333333333,0.814293305,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
50,TB_0294,0,0.86645,1.9648666667,0.4409713976,218,241.1666666667,0.9039391845,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
53,TB_0309,0,1.6203666667,0.7923666667,2.0449707627,419,280.3333333333,1.4946492271,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
57,TB_0316,0,1.7507833333,1.7501166667,1.000380927,412.6666666667,360.6666666667,1.1441774492,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
67,TB_0347,0.5,1.1621333333,1.4914333333,0.7792056858,326,318.1666666667,1.02462022,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
71,TB_0354,0,1.6947833333,0.8259333333,2.0519614174,290.5,208.3333333333,1.3944,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
89,TB_0456,0,0.8333666667,1.1578666667,0.7197432059,317.5,408.6666666667,0.7769168026,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
99,TB_0495,0,1.5483166667,0.7994833333,1.9366465843,349.3333333333,335.6666666667,1.040714995,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
116,TB_0560,0.5,2.3232666667,0.6972333333,3.3321221973,341.8333333333,183.3333333333,1.8645454545,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
117,TB_0569,0,1.5734666667,1.5203,1.034971168,376.3333333333,419.3333333333,0.8974562798,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,57.0613704707
102,TB_0513,0.5,2.71515,4.7289333333,0.5741569628,529.6666666667,647.6666666667,0.8178075142,67.1118469423,43.8634243989,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,45.1220566907,48.2907858706,33.6452076825,67.1118469423,59.1945943478
101,TB_0503,0.5,3.0743,3.6023,0.8534269772,435.6666666667,537.1666666667,0.8110456097,67.1118469423,43.8634243989,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,45.1220566907,48.2907858706,38.7298334621,67.1118469423,59.1945943478
93,TB_0477,0.5,2.5342,2.8824166667,0.879192807,370.6666666667,411.3333333333,0.9011345219,67.1118469423,45.1220566907,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,41.9046536795,48.2907858706,45.1220566907,67.1118469423,59.1945943478
108,TB_0540,0,2.1299333333,2.5091333333,0.8488721205,452.5,374.5,1.2082777036,67.1118469423,45.1220566907,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,43.6806593357,48.2907858706,45.1220566907,67.1118469423,59.1945943478
