Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60343,1,3,wet,TB_0357,H18,35.9945,34.7988125
60344,1,3,wet,TB_0107,H17,36.2918125,34.2864375
60345,1,3,wet,B100,H16,36.266125,34.2081875
60346,1,3,wet,TB_0488,H15,36.283,35.1910625
60347,1,3,wet,TB_0031,H14,35.927375,35.1789375
60348,1,3,wet,TB_0063,H13,36.9648125,34.908625
60349,1,3,wet,B100,I18,36.0829375,33.3828125
60350,1,3,wet,TB_0191,I17,35.99675,33.4660625
60351,1,3,wet,TB_0478,I16,35.646625,33.8336875
60352,1,3,wet,TB_0266,I15,35.527625,33.9939375
60353,1,3,wet,TB_0025,I14,35.7763125,34.124875
60354,1,3,wet,TB_0579,I13,36.4685625,34.5161875
60355,1,3,wet,TB_0414,J18,35.830125,33.722375
60356,1,3,wet,TB_0131,J17,35.5235625,33.322875
60357,1,3,wet,TB_0465,J16,36.5875625,33.5040625
60358,1,3,wet,TB_0146,J15,35.8003125,34.102625
60359,1,3,wet,B100,J14,35.5540625,33.791
60360,1,3,wet,TB_0564,J13,37.481125,34.23275
60401,1,4,wet,TB_0581,A19,36.01475,32.1248125
60402,1,4,wet,B100,A20,35.5245625,32.041875
60403,1,4,wet,TB_0255,A21,35.8845,32.35625
60404,1,4,wet,TB_0044,A22,36.5413125,32.6359375
60405,1,4,wet,TB_0417,A23,39.3154375,33.70975
60406,1,4,wet,TB_0228,A24,49.6248125,35.175125
60407,1,4,wet,TB_0469,B19,36.11375,31.72275
60408,1,4,wet,TB_0598,B20,34.892375,31.427125
60409,1,4,wet,B100,B21,35.2918125,31.7201875
60410,1,4,wet,TB_0462,B22,35.1438125,32.082375
60411,1,4,wet,TB_0317,B23,35.542,32.5455
60412,1,4,wet,TB_0503,B24,36.3214375,33.5365625
60413,1,4,wet,TB_0355,C19,36.128625,32.7270625
60414,1,4,wet,TB_0569,C20,35.4328125,32.0239375
60415,1,4,wet,TB_0316,C21,35.565375,32.11425
60416,1,4,wet,TB_0006,C22,35.0015,31.9619375
60417,1,4,wet,TB_0226,C23,35.5690625,32.024625
60418,1,4,wet,B100,C24,35.043375,32.279875
60419,1,4,wet,TB_0130,D19,35.6043125,31.708125
60420,1,4,wet,B100,D20,35.399875,31.61075
60421,1,4,wet,TB_0352,D21,35.44875,32.343875
60422,1,4,wet,TB_0017,D22,35.3285,32.3434375
60423,1,4,wet,TB_0054,D23,35.673125,32.3450625
60424,1,4,wet,TB_0015,D24,36.0515,32.79575
60425,1,4,wet,TB_0259,E19,36.274,32.4679375
60426,1,4,wet,TB_0363,E20,36.504875,32.49275
60427,1,4,wet,TB_0480,E21,36.2705,32.567
60428,1,4,wet,TB_0310,E22,35.4186875,32.3441875
60429,1,4,wet,TB_0437,E23,36.45275,32.7560625
60430,1,4,wet,BLANK,E24,45.864875,37.2750625
60431,1,4,wet,TB_0354,F19,36.2695,32.39825
60432,1,4,wet,TB_0309,F20,36.5905,32.832
60433,1,4,wet,BLANK,F21,39.4825,38.64825
60434,1,4,wet,B100,F22,35.9894375,32.8831875
60435,1,4,wet,TB_0444,F23,36.7688125,32.1164375
60436,1,4,wet,TB_0157,F24,36.567125,32.3219375
60437,1,4,wet,TB_0159,G19,35.537125,32.3631875
60438,1,4,wet,TB_0314,G20,35.3390625,32.515625
60439,1,4,wet,TB_0362,G21,35.5831875,33.4195
60440,1,4,wet,TB_0048,G22,34.7695625,34.050125
60441,1,4,wet,TB_0010,G23,35.1649375,34.667375
60442,1,4,wet,TB_0285,G24,35.363875,33.525375
60443,1,4,wet,TB_0088,H19,35.3006875,32.5665625
60444,1,4,wet,TB_0430,H20,34.943125,32.6629375
60445,1,4,wet,B100,H21,34.6625625,32.2559375
60446,1,4,wet,TB_0433,H22,34.7760625,32.2320625
60447,1,4,wet,TB_0335,H23,35.1773125,32.1873125
60448,1,4,wet,TB_0471,H24,34.9825625,32.5475
60449,1,4,wet,B100,I19,35.0815,31.9365
60450,1,4,wet,TB_0100,I20,35.1900625,32.18225
60451,1,4,wet,TB_0003,I21,35.3305625,31.972125
60452,1,4,wet,TB_0423,I22,35.1931875,32.0100625
60453,1,4,wet,TB_0267,I23,35.0484375,32.09925
60454,1,4,wet,TB_0047,I24,34.871625,32.398125
60455,1,4,wet,TB_0296,J19,35.5404375,32.6088125
60456,1,4,wet,TB_0531,J20,35.044875,32.6728125
60457,1,4,wet,TB_0409,J21,35.295875,32.1295
60458,1,4,wet,TB_0311,J22,35.071875,32.326375
60459,1,4,wet,B100,J23,35.088125,31.7771875
60460,1,4,wet,TB_0239,J24,36.646125,32.24525
60501,1,5,dry,TB_0135,A6,38.722,38.79325
60502,1,5,dry,B100,A5,36.4754375,38.7420625
60503,1,5,dry,TB_0254,A4,41.006,41.8775
60504,1,5,dry,TB_0500,A3,38.11675,41.5309375
60505,1,5,dry,TB_0353,A2,38.19,44.250625
60506,1,5,dry,TB_0319,A1,38.2423125,49.1175
60507,1,5,dry,TB_0513,B6,36.0508125,38.9513125
60508,1,5,dry,TB_0128,B5,38.4693125,38.2266875
60509,1,5,dry,B100,B4,36.3185,43.1141875
60510,1,5,dry,TB_0165,B3,38.18825,46.5215
60511,1,5,dry,TB_0544,B2,36.1625625,38.177125
60512,1,5,dry,TB_0161,B1,37.448375,40.851
60513,1,5,dry,TB_0640,C6,35.310375,37.153625
60514,1,5,dry,TB_0429,C5,40.854125,41.022125
60515,1,5,dry,TB_0487,C4,37.4650625,39.1213125
60516,1,5,dry,TB_0366,C3,42.744625,46.981125
60517,1,5,dry,TB_0275,C2,39.046625,45.1923125
60518,1,5,dry,B100,C1,36.50475,40.4946875
60519,1,5,dry,TB_0336,D6,39.5985,45.86125
60520,1,5,dry,B100,D5,37.842875,42.1780625
60521,1,5,dry,TB_0095,D4,41.102125,40.2146875
60522,1,5,dry,TB_0436,D3,37.135375,39.6616875
