Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_16_notes,Jul_11_notes,Jul_12_notes,Jul_11_weather,Jul_21_notes,Jul_21_weather,Jul_21_IR,Jul_21_IR_std,Jul_21_IR_obs,Jul_21_IR_se,,Jul_11_IR,Jul_11_IR_std,Jul_11_IR_obs,Jul_11_IR_se,Jul_16_IR,Jul_16_IR_std,Jul_16_IR_obs,Jul_16_IR_se
60201,1,2,wet,TB_0411,A7,,,,,,,35.28375,0.172291033,16,0.043072758,,34.8299375,0.46852214,16,0.117130535,,,,
60202,1,2,wet,B100,A8,,,,,,,35.2659375,0.220643141,16,0.055160785,,33.780625,0.112865037,16,0.028216259,,,,
60203,1,2,wet,TB_0530,A9,,,,,,,35.1998125,0.257096926,16,0.064274231,,34.959125,0.258485815,16,0.064621454,,,,
60204,1,2,wet,TB_0559,A10,,,,,,,35.2946875,0.142203478,16,0.03555087,,33.8855625,0.16642795,16,0.041606987,,,,
60205,1,2,wet,TB_0297,A11,,,,,,,36.49475,0.26430828,16,0.06607707,,35.9736875,0.747914943,16,0.186978736,,,,
60206,1,2,wet,TB_0343,A12,,empty,,,,,40.2528125,1.085573287,16,0.271393322,,40.9603125,2.947025839,16,0.73675646,,,,
60207,1,2,wet,TB_0339,B7,,beam,,,,,35.183,0.18341792,16,0.04585448,,33.7703125,0.578302541,16,0.144575635,,,,
60208,1,2,wet,TB_0597,B8,,beam,,,,,35.034625,0.237234027,16,0.059308507,,33.9065625,0.409202471,16,0.102300618,,,,
60209,1,2,wet,B100,B9,,beam,,,,,34.939625,0.337881414,16,0.084470354,,34.6696875,0.672806532,16,0.168201633,,,,
60210,1,2,wet,TB_0122,B10,,,,,,,35.144625,0.213081479,16,0.05327037,,34.4378125,0.64934133,16,0.162335332,,,,
60211,1,2,wet,TB_0381,B11,,,,,,,35.7181875,0.172574706,16,0.043143677,,34.334,0.239664766,16,0.059916191,,,,
60212,1,2,wet,TB_0124,B12,,,,,,,36.4459375,0.19363659,16,0.048409148,,35.582125,0.566194769,16,0.141548692,,,,
60213,1,2,wet,TB_0205,C7,,sparse,,,,,48.4919375,2.998006059,16,0.749501515,,38.9345,0.802636406,16,0.200659101,,,,
60214,1,2,wet,TB_0447,C8,,,,,,,35.8098125,0.378100025,16,0.094525006,,36.954875,0.87302584,16,0.21825646,,,,
60215,1,2,wet,TB_0446,C9,,,,,,,35.1946875,0.159499099,16,0.039874775,,34.279,0.374111035,16,0.093527759,,,,
60216,1,2,wet,TB_0529,C10,,,,,,,36.17875,0.315802787,16,0.078950697,,36.5958125,0.884846821,16,0.221211705,,,,
60217,1,2,wet,TB_0492,C11,,,,,,,35.56,0.240072211,16,0.060018053,,34.1790625,0.224501067,16,0.056125267,,,,
60218,1,2,wet,B100,C12,,,,,,,36.159125,0.435165084,16,0.108791271,,35.6910625,0.770151281,16,0.19253782,,,,
60219,1,2,wet,TB_0156,D7,,,,,,,35.9870625,0.319767096,16,0.079941774,,33.4436875,0.227269214,16,0.056817304,,,,
60220,1,2,wet,B100,D8,,,,,,,35.112375,0.317457792,16,0.079364448,,34.4694375,0.236079921,16,0.05901998,,,,
60221,1,2,wet,TB_0382,D9,,,,,,,35.169875,0.168414123,16,0.042103531,,35.4203125,0.854020821,16,0.213505205,,,,
60222,1,2,wet,TB_0551,D10,,,,,,,35.388875,0.193803982,16,0.048450995,,33.939125,0.237301461,16,0.059325365,,,,
60223,1,2,wet,TB_0501,D11,,,,,,,36.173375,0.151912639,16,0.03797816,,36.215375,0.601841826,16,0.150460456,,,,
60224,1,2,wet,TB_0274,D12,,,,,,,37.13375,0.233172754,16,0.058293189,,36.52975,0.459358901,16,0.114839725,,,,
60225,1,2,wet,TB_0486,E7,,,,,,,35.9519375,0.266876868,16,0.066719217,,33.545875,0.234009366,16,0.058502341,,,,
60226,1,2,wet,TB_0550,E8,,,,,,,35.376625,0.222203773,16,0.055550943,,35.193375,0.325154297,16,0.081288574,,,,
60227,1,2,wet,TB_0341,E9,,,,,,,36.071875,0.203990155,16,0.050997539,,36.5426875,0.820505675,16,0.205126419,,,,
60228,1,2,wet,TB_0260,E10,,,,,,,37.4295,0.214871745,16,0.053717936,,35.4701875,0.398242676,16,0.099560669,,,,
60229,1,2,wet,TB_0344,E11,,,,,,,38.382125,0.610011134,16,0.152502783,,37.90525,0.952809565,16,0.238202391,,,,
60230,1,2,wet,TB_0167,E12,,,,,,,38.0664375,0.384871921,16,0.09621798,,36.239375,0.36328554,16,0.090821385,,,,
60231,1,2,wet,TB_0169,F7,,,,,,,35.12775,0.23473517,16,0.058683792,,33.8175625,0.249995992,16,0.062498998,,,,
60232,1,2,wet,TB_0208,F8,,,,,,,36.7665625,0.922883595,16,0.230720899,,36.7208125,1.000578581,16,0.250144645,,,,
60233,1,2,wet,TB_0560,F9,,,,,,,36.5389375,0.292418301,16,0.073104575,,36.5031875,0.519222267,16,0.129805567,,,,
60234,1,2,wet,B100,F10,,,,,,,36.5919375,0.57432296,16,0.14358074,,37.25425,0.621282383,16,0.155320596,,,,
60235,1,2,wet,TB_0434,F11,,,,,,,37.3578125,0.38075963,16,0.095189907,,36.714625,0.420610806,16,0.105152701,,,,
60236,1,2,wet,TB_0037,F12,,,,,,,37.532375,0.305171837,16,0.076292959,,34.571125,0.257734198,16,0.064433549,,,,
60237,1,2,wet,TB_0402,G7,,,,,,,35.3963125,0.24210954,16,0.060527385,,35.459625,0.56486221,16,0.141215553,,,,
60238,1,2,wet,TB_0412,G8,,,,,,,36.0185,0.480897356,16,0.120224339,,36.5380625,0.378583231,16,0.094645808,,,,
60239,1,2,wet,TB_0346,G9,,,,,,,37.8820625,0.458324698,16,0.114581175,,36.598875,0.70768683,16,0.176921708,,,,
60240,1,2,wet,TB_0420,G10,,,,,,,36.209375,0.32312121,16,0.080780303,,35.413625,0.221512039,16,0.05537801,,,,
60241,1,2,wet,TB_0612,G11,,,,,,,36.600375,0.390588594,16,0.097647149,,35.868,0.393794701,16,0.098448675,,,,
60242,1,2,wet,TB_0476,G12,,,,,,,36.42875,0.570522275,16,0.142630569,,35.0941875,0.488198214,16,0.122049553,,,,
60243,1,2,wet,TB_0368,H7,,,,,,,35.2055625,0.095051543,16,0.023762886,,33.65,0.21106176,16,0.05276544,,,,
60244,1,2,wet,TB_0424,H8,,,,,,,35.51,0.115750306,16,0.028937576,,35.30325,0.472469752,16,0.118117438,,,,
60245,1,2,wet,B100,H9,,sm_probe,,,,,35.4513125,0.398660042,16,0.099665011,,36.14175,0.500183766,16,0.125045942,,,,
60246,1,2,wet,TB_0641,H10,,,,,,,35.5400625,0.264118526,16,0.066029632,,34.5428125,0.312593499,16,0.078148375,,,,
60247,1,2,wet,TB_0056,H11,,,,,,,35.9573125,0.285119324,16,0.071279831,,37.7835,0.795011866,16,0.198752966,,,,
60248,1,2,wet,TB_0340,H12,,,,,,,36.5935625,0.218453342,16,0.054613335,,37.75325,0.449243141,16,0.112310785,,,,
60249,1,2,wet,B100,I7,,,,,,,34.7871875,0.241469451,16,0.060367363,,33.790875,0.225121264,16,0.056280316,,,,
60250,1,2,wet,TB_0046,I8,,,,,,,36.3878125,0.376424445,16,0.094106111,,34.41975,0.236514552,16,0.059128638,,,,
60251,1,2,wet,TB_0348,I9,,,,,,,35.645,0.151155108,16,0.037788777,,37.161,0.536578419,16,0.134144605,,,,
60252,1,2,wet,TB_0148,I10,,,,,,,36.3475625,0.17518256,16,0.04379564,,35.8908125,0.396832495,16,0.099208124,,,,
60253,1,2,wet,TB_0103,I11,,,,,,,35.448375,0.271465621,16,0.067866405,,34.2795625,0.143049161,16,0.03576229,,,,
60254,1,2,wet,TB_0212,I12,,,,,,,36.4564375,0.490812112,16,0.122703028,,34.628875,0.200314378,16,0.050078594,,,,
60255,1,2,wet,TB_0554,J7,,,,,,,35.23275,0.233185334,16,0.058296334,,33.864125,0.163836453,16,0.040959113,,,,
60256,1,2,wet,TB_0527,J8,,,,,,,35.1719375,0.272675257,16,0.068168814,,33.6786875,0.171757084,16,0.042939271,,,,
60257,1,2,wet,TB_0278,J9,,,,,,,35.319125,0.290044106,16,0.072511026,,34.9436875,0.627379813,16,0.156844953,,,,
60258,1,2,wet,TB_0439,J10,,,,,,,35.1006875,0.192405724,16,0.048101431,,33.867,0.243068715,16,0.060767179,,,,
60259,1,2,wet,B100,J11,,,,,,,34.982375,0.406477695,16,0.101619424,,33.921125,0.287596679,16,0.07189917,,,,
60260,1,2,wet,TB_0401,J12,,,,,,,35.471375,0.149424619,16,0.037356155,,34.4176875,0.211700644,16,0.052925161,,,,
60301,1,3,wet,TB_0204,A18,,,,,,,42.623125,1.800320819,16,0.450080205,,34.4305625,0.248814514,16,0.062203629,,,,
60302,1,3,wet,B100,A17,,,,,,,36.6984375,0.200340367,16,0.050085092,,33.959125,0.194584986,16,0.048646246,,,,
60303,1,3,wet,TB_0258,A16,,,,,,,36.5085,0.21891825,16,0.054729562,,34.08025,0.131324281,16,0.03283107,,,,
60304,1,3,wet,TB_0282,A15,,,,,,,36.9725625,0.312513033,16,0.078128258,,34.0714375,0.280275333,16,0.070068833,,,,
60305,1,3,wet,TB_0577,A14,,,,,,,36.85025,0.237052315,16,0.059263079,,35.0823125,0.396365609,16,0.099091402,,,,
60306,1,3,wet,TB_0358,A13,,,,,,,36.981625,0.111430023,16,0.027857506,,34.3920625,0.382995295,16,0.095748824,,,,
60307,1,3,wet,TB_0534,B18,,,,,,,36.130625,0.290434818,16,0.072608704,,33.5286875,0.172132011,16,0.043033003,,,,
60308,1,3,wet,TB_0384,B17,,,,,,,36.292,0.224332789,16,0.056083197,,34.3899375,0.155194273,16,0.038798568,,,,
60309,1,3,wet,B100,B16,,sm_probe,,,,,36.2511875,0.261778079,16,0.06544452,,35.0094375,0.701171968,16,0.175292992,,,,
60310,1,3,wet,A10,B15,,,,,,,37.5391875,0.28021497,16,0.070053742,,34.686625,0.262904514,16,0.065726128,,,,
60311,1,3,wet,TB_0610,B14,,,,,,,36.3404375,0.130077909,16,0.032519477,,33.5259375,0.112040748,16,0.028010187,,,,
60312,1,3,wet,TB_0064,B13,,,,,,,36.5596875,0.146147742,16,0.036536936,,33.948,0.282841063,16,0.070710266,,,,
60313,1,3,wet,TB_0493,C18,,beam,,,,,36.1815625,0.619796738,16,0.154949184,,33.25275,0.223957883,16,0.055989471,,,,
60314,1,3,wet,TB_0265,C17,,beam,,,,,36.93575,0.332174352,16,0.083043588,,34.188625,0.226087262,16,0.056521815,,,,
60315,1,3,wet,TB_0261,C16,,beam,,,,,35.923875,0.178106288,16,0.044526572,,32.84325,0.391482567,16,0.097870642,,,,
60316,1,3,wet,TB_0256,C15,,beam,,,,,36.4213125,0.324931935,16,0.081232984,,33.4616875,0.404280714,16,0.101070179,,,,
60317,1,3,wet,TB_0495,C14,,beam,,,,,36.250625,0.18716726,16,0.046791815,,33.5989375,0.518254695,16,0.129563674,,,,
60318,1,3,wet,B100,C13,,beam,,,,,36.1745625,0.228125979,16,0.057031495,,33.2135625,0.171892978,16,0.042973244,,,,
60319,1,3,wet,TB_0155,D18,,,,,,,37.219625,0.437525295,16,0.109381324,,33.657125,0.175434651,16,0.043858663,,,,
60320,1,3,wet,B100,D17,,,,,,,36.14975,0.348381496,16,0.087095374,,33.755625,0.556346999,16,0.13908675,,,,
60321,1,3,wet,TB_0342,D16,,,,,,,37.4285625,0.270724206,16,0.067681052,,34.64,0.361515698,16,0.090378925,,,,
60322,1,3,wet,TB_0456,D15,,,,,,,36.361375,0.382769012,16,0.095692253,,33.9101875,0.247363759,16,0.06184094,,,,
60323,1,3,wet,TB_0540,D14,,,,,,,36.384,0.276535953,16,0.069133988,,34.03325,0.190422163,16,0.047605541,,,,
60324,1,3,wet,TB_0606,D13,,,,,,,36.800125,0.201167882,16,0.05029197,,34.028375,0.261795308,16,0.065448827,,,,
60325,1,3,wet,TB_0034,E18,,,,,,,36.2015625,0.319592859,16,0.079898215,,33.6943125,0.229002102,16,0.057250525,,,,
60326,1,3,wet,TB_0137,E17,,,,,,,36.878875,0.333108966,16,0.083277242,,33.1484375,0.234492066,16,0.058623017,,,,
60327,1,3,wet,TB_0555,E16,,,,,,,35.839125,0.123851995,16,0.030962999,,32.9859375,0.200317904,16,0.050079476,,,,
60328,1,3,wet,TB_0547,E15,,,,,,,37.362625,0.211866271,16,0.052966568,,34.3168125,0.244842866,16,0.061210717,,,,
60329,1,3,wet,TB_0050,E14,,,,,,,36.63975,0.212484195,16,0.053121049,,33.235,0.164112563,16,0.041028141,,,,
60330,1,3,wet,TB_0460,E13,,,,,,,36.5888125,0.148474114,16,0.037118528,,33.473875,0.154490075,16,0.038622519,,,,
60331,1,3,wet,TB_0315,F18,,,,,,,37.02925,0.365843591,16,0.091460898,,34.41175,0.435280676,16,0.108820169,,,,
60332,1,3,wet,TB_0411,F17,,,,,,,36.93175,0.2005165,16,0.050129125,,34,0.292053648,16,0.073013412,,,,
60333,1,3,wet,TB_0387,F16,,,,,,,35.9978125,0.233461837,16,0.058365459,,33.6006875,0.177004225,16,0.044251056,,,,
60334,1,3,wet,B100,F15,,,,,,,35.473875,0.271557698,16,0.067889424,,33.37225,0.370664179,16,0.092666045,,,,
