Subplot_ID,Rep,Awning,Treatment,Genotype
60206,1,2,wet,TB_0343
60207,1,2,wet,TB_0339
60208,1,2,wet,TB_0597
60209,1,2,wet,B100
60210,1,2,wet,TB_0122
60211,1,2,wet,TB_0381
60212,1,2,wet,TB_0124
60213,1,2,wet,TB_0205
60214,1,2,wet,TB_0447
60215,1,2,wet,TB_0446
60216,1,2,wet,TB_0529
60217,1,2,wet,TB_0492
60218,1,2,wet,B100
60219,1,2,wet,TB_0156
60220,1,2,wet,B100
60221,1,2,wet,TB_0382
60222,1,2,wet,TB_0551
60223,1,2,wet,TB_0501
60224,1,2,wet,TB_0274
60225,1,2,wet,TB_0486
60226,1,2,wet,TB_0550
60227,1,2,wet,TB_0341
60228,1,2,wet,TB_0260
60229,1,2,wet,TB_0344
60230,1,2,wet,TB_0167
60231,1,2,wet,TB_0169
60232,1,2,wet,TB_0208
60233,1,2,wet,TB_0560
60234,1,2,wet,B100
60235,1,2,wet,TB_0434
60236,1,2,wet,TB_0037
60237,1,2,wet,TB_0402
60238,1,2,wet,TB_0412
60239,1,2,wet,TB_0346
60240,1,2,wet,TB_0420
60241,1,2,wet,TB_0612
60242,1,2,wet,TB_0476
60243,1,2,wet,TB_0368
60244,1,2,wet,TB_0424
60245,1,2,wet,B100
60246,1,2,wet,TB_0641
60247,1,2,wet,TB_0056
60248,1,2,wet,TB_0340
60249,1,2,wet,B100
60250,1,2,wet,TB_0046
60251,1,2,wet,TB_0348
60252,1,2,wet,TB_0148
60253,1,2,wet,TB_0103
60254,1,2,wet,TB_0212
60255,1,2,wet,TB_0554
60256,1,2,wet,TB_0527
60257,1,2,wet,TB_0278
60258,1,2,wet,TB_0439
60259,1,2,wet,B100
60260,1,2,wet,TB_0401
60301,1,3,wet,TB_0204
60302,1,3,wet,B100
60303,1,3,wet,TB_0258
60304,1,3,wet,TB_0282
60305,1,3,wet,TB_0577
60306,1,3,wet,TB_0358
60307,1,3,wet,TB_0534
60308,1,3,wet,TB_0384
60309,1,3,wet,B100
60310,1,3,wet,A10
60311,1,3,wet,TB_0610
60312,1,3,wet,TB_0064
60313,1,3,wet,TB_0493
60314,1,3,wet,TB_0265
60315,1,3,wet,TB_0261
60316,1,3,wet,TB_0256
60317,1,3,wet,TB_0495
60318,1,3,wet,B100
60319,1,3,wet,TB_0155
60320,1,3,wet,B100
60321,1,3,wet,TB_0342
60322,1,3,wet,TB_0456
60323,1,3,wet,TB_0540
