Subplot_ID,Rep,Awning,Treatment,Genotype
61552,2,15,wet,TB_0157
61553,2,15,wet,TB_0446
61554,2,15,wet,TB_0590
61555,2,15,wet,TB_0278
61556,2,15,wet,TB_0341
61557,2,15,wet,TB_0047
61558,2,15,wet,TB_0475
61559,2,15,wet,B100
61560,2,15,wet,TB_0095
61601,2,16,wet,TB_0437
61602,2,16,wet,B100
61603,2,16,wet,TB_0564
61604,2,16,wet,TB_0513
61605,2,16,wet,TB_0550
61606,2,16,wet,TB_0029
61607,2,16,wet,TB_0131
61608,2,16,wet,BLANK
61609,2,16,wet,B100
61610,2,16,wet,TB_0336
61611,2,16,wet,TB_0309
61612,2,16,wet,TB_0640
61613,2,16,wet,TB_0274
61614,2,16,wet,TB_0346
61615,2,16,wet,TB_0319
61616,2,16,wet,TB_0480
61617,2,16,wet,TB_0031
61618,2,16,wet,B100
61619,2,16,wet,TB_0641
61620,2,16,wet,B100
61621,2,16,wet,TB_0560
61622,2,16,wet,TB_0107
61623,2,16,wet,TB_0471
61624,2,16,wet,TB_0275
61625,2,16,wet,TB_0281
61626,2,16,wet,TB_0054
61627,2,16,wet,TB_0334
61628,2,16,wet,TB_0402
61629,2,16,wet,TB_0363
61630,2,16,wet,TB_0486
61631,2,16,wet,TB_0135
61632,2,16,wet,TB_0228
61633,2,16,wet,TB_0382
61634,2,16,wet,B100
61635,2,16,wet,TB_0509
61636,2,16,wet,TB_0006
61637,2,16,wet,TB_0529
61638,2,16,wet,TB_0347
61639,2,16,wet,TB_0025
61640,2,16,wet,TB_0414
61641,2,16,wet,TB_0492
61642,2,16,wet,TB_0104
61643,2,16,wet,TB_0201
61644,2,16,wet,TB_0534
61645,2,16,wet,B100
61646,2,16,wet,TB_0569
61647,2,16,wet,TB_0003
61648,2,16,wet,TB_0612
61649,2,16,wet,B100
61650,2,16,wet,TB_0297
61651,2,16,wet,TB_0159
61652,2,16,wet,TB_0126
61653,2,16,wet,TB_0381
61654,2,16,wet,A10
61655,2,16,wet,TB_0487
61656,2,16,wet,TB_0261
61657,2,16,wet,TB_0294
61658,2,16,wet,TB_0353
61659,2,16,wet,B100
61660,2,16,wet,TB_0386
